time,num_people,distance_dist
1601401391.54269,1,[0.0]
1601401406.549441,0,[]
1601401421.5613384,2,"[2.6687960619720082e-05, 2.6687960619720082e-05]"
1601401438.2442503,0,[]
1601401453.2565331,0,[]
1601401468.2688243,1,[0.0]
1601401483.2811086,2,"[1.05606300904118e-06, 1.05606300904118e-06]"
1601401498.293088,2,"[0.00015104224152147466, 0.00015104224152147466]"
1601401513.304969,1,[0.0]
1601401528.3171973,2,"[9.1719904185514e-05, 9.1719904185514e-05]"
1601401543.3232474,0,[]
1601401558.3293238,2,"[0.00015307808532666252, 0.00015307808532666252]"
1601401573.3416924,5,"[5.839314941327147e-05, 1.8139610121984426e-05, 5.839314941327147e-05, 1.8139610121984426e-05, 3.447532160842645e-05]"
1601401588.341942,0,[]
1601401603.3542523,0,[]
1601401618.3661559,0,[]
1601401633.3703249,3,"[5.503391394087978e-05, 4.3906249368609085e-05, 4.3906249368609085e-05]"
1601401648.3824294,0,[]
1601401663.3947635,0,[]
1601401678.4070635,1,[0.0]
1601401693.4190807,0,[]
1601401708.4220989,0,[]
1601401723.4284337,0,[]
1601401739.8653862,3,"[2.0526506592014448e-05, 2.0526506592014448e-05, 0.00011235660638988154]"
1601401754.87777,0,[]
1601401769.8893108,0,[]
1601401784.901325,1,[0.0]
1601401799.9095972,1,[0.0]
1601401814.919453,2,"[1.5425747560021866e-06, 1.5425747560021866e-06]"
1601401829.9316494,2,"[2.134549890424036e-05, 2.134549890424036e-05]"
1601401844.9440432,0,[]
1601401859.9465487,1,[0.0]
1601401874.947438,0,[]
1601401889.958901,0,[]
1601401904.9678085,0,[]
1601401919.971387,0,[]
1601401934.9836948,0,[]
1601401949.9837778,0,[]
1601401964.9920382,0,[]
1601401979.9983819,1,[0.0]
1601401995.004176,2,"[2.0635037350800226e-05, 2.0635037350800226e-05]"
1601402010.016274,2,"[1.0820514511617262e-05, 1.0820514511617262e-05]"
1601402025.0285945,1,[0.0]
1601402040.0406227,0,[]
1601402055.052729,2,"[1.928922121646254e-05, 1.928922121646254e-05]"
1601402070.064742,1,[0.0]
1601402085.076868,1,[0.0]
1601402100.0832586,1,[0.0]
1601402116.5138838,0,[]
1601402131.5167022,1,[0.0]
1601402146.5290549,0,[]
1601402161.537338,0,[]
1601402176.544661,1,[0.0]
1601402191.5568576,0,[]
1601402206.5653303,1,[0.0]
1601402221.5774765,0,[]
1601402236.589587,0,[]
1601402251.598381,0,[]
1601402266.609429,0,[]
1601402281.6215627,0,[]
1601402296.6335955,0,[]
1601402311.6413283,1,[0.0]
1601402326.6493146,0,[]
1601402341.6568382,0,[]
1601402356.6620295,0,[]
1601402371.6743124,1,[0.0]
1601402386.685341,3,"[1.5125388480924773e-05, 1.5125388480924773e-05, 2.0866069190647992e-05]"
1601402401.689123,1,[0.0]
1601402418.147309,2,"[3.198087370210007e-05, 3.198087370210007e-05]"
1601402433.159379,1,[0.0]
1601402448.1716096,0,[]
1601402463.1836615,0,[]
1601402478.1959436,0,[]
1601402493.2055948,0,[]
1601402508.213325,0,[]
1601402523.2256958,0,[]
1601402538.2353616,0,[]
1601402553.2453408,0,[]
1601402568.2473316,0,[]
1601402583.2573228,0,[]
1601402598.2620354,0,[]
1601402613.2716768,0,[]
1601402628.2791398,0,[]
1601402643.2894282,0,[]
1601402658.301339,0,[]
1601402673.3136883,0,[]
1601402688.3243268,1,[0.0]
1601402704.831817,0,[]
1601402719.8441072,0,[]
1601402734.847467,0,[]
1601402749.8586736,1,[0.0]
1601402764.8710089,0,[]
1601402779.877914,0,[]
1601402794.8788297,3,"[1.9328227184404347e-05, 5.943119384305999e-06, 5.943119384305999e-06]"
1601402809.8883958,1,[0.0]
1601402824.9004462,2,"[4.88738320503766e-06, 4.88738320503766e-06]"
1601402839.912499,0,[]
1601402854.924674,0,[]
1601402869.936582,2,"[2.4502948228918877e-05, 2.4502948228918877e-05]"
1601402884.9444103,3,"[1.7401795535112573e-05, 2.1252798114878774e-05, 1.7401795535112573e-05]"
1601402899.9550858,0,[]
1601402914.9674568,0,[]
1601402929.9762897,1,[0.0]
1601402944.9815478,0,[]
1601402959.9937696,0,[]
1601402975.0056655,0,[]
1601402990.0178316,0,[]
1601403005.029858,0,[]
1601403020.0421836,1,[0.0]
1601403035.054454,1,[0.0]
1601403050.0665991,0,[]
1601403065.0788152,0,[]
1601403080.0912426,0,[]
1601403095.1024797,0,[]
1601403110.1148026,0,[]
1601403125.1263995,0,[]
1601403140.1297855,2,"[5.747215483762566e-05, 5.747215483762566e-05]"
1601403155.1374557,4,"[1.1076682400552568e-06, 1.1076682400552568e-06, 1.5809149518443542e-05, 1.5809149518443542e-05]"
1601403170.1493745,0,[]
1601403185.161702,0,[]
1601403200.168935,2,"[1.1862476241178911e-05, 1.1862476241178911e-05]"
1601403215.1813035,2,"[5.577489430953627e-05, 5.577489430953627e-05]"
1601403230.1935482,0,[]
1601403245.2057536,2,"[1.5903253297514484e-05, 1.5903253297514484e-05]"
1601403260.218069,1,[0.0]
1601403275.2252154,1,[0.0]
1601403290.237424,3,"[2.4605244292916736e-05, 2.4967949887391143e-05, 2.4605244292916736e-05]"
1601403305.249636,0,[]
1601403320.2593706,0,[]
1601403335.2693155,0,[]
1601403350.2814279,2,"[3.791955526435404e-06, 3.791955526435404e-06]"
1601403365.289504,3,"[3.693314692211945e-05, 4.048016522290798e-05, 3.693314692211945e-05]"
1601403380.2985227,0,[]
1601403395.3109329,2,"[0.00012589581135320034, 0.00012589581135320034]"
1601403410.3232586,0,[]
1601403425.3316212,3,"[2.148836785868819e-05, 2.9430639599812924e-06, 2.9430639599812924e-06]"
1601403440.3413255,1,[0.0]
1601403455.3533416,2,"[1.6895666383511275e-05, 1.6895666383511275e-05]"
1601403470.3633277,0,[]
1601403485.368102,0,[]
1601403500.373133,1,[0.0]
1601403515.3774905,2,"[9.298372613870885e-06, 9.298372613870885e-06]"
1601403530.3897738,0,[]
1601403545.4021804,0,[]
1601403560.4104986,0,[]
1601403575.4188914,2,"[1.856286370257422e-05, 1.856286370257422e-05]"
1601403590.4295733,0,[]
1601403605.4391003,1,[0.0]
1601403620.4515305,0,[]
1601403635.463668,2,"[4.518080986011624e-05, 4.518080986011624e-05]"
1601403650.4684963,5,"[2.6822375431539103e-05, 1.9965507432109968e-05, 2.8334240233603827e-06, 1.3164031038585483e-05, 2.8334240233603827e-06]"
1601403665.4756308,1,[0.0]
1601403680.487824,2,"[2.2211656463187413e-05, 2.2211656463187413e-05]"
1601403695.5001698,0,[]
1601403710.5122397,4,"[6.061915942842075e-05, 6.061915942842075e-05, 2.799330179523133e-05, 2.799330179523133e-05]"
1601403725.524486,2,"[2.1213335477264917e-05, 2.1213335477264917e-05]"
1601403740.5247207,1,[0.0]
1601403755.529654,2,"[6.242583105554988e-05, 6.242583105554988e-05]"
1601403770.5387833,1,[0.0]
1601403785.5487144,1,[0.0]
1601403800.5610676,0,[]
1601403815.5612822,1,[0.0]
1601403830.5735996,1,[0.0]
1601403845.5859587,2,"[4.5332132968241126e-05, 4.5332132968241126e-05]"
1601403861.97701,2,"[3.4257411686855336e-05, 3.4257411686855336e-05]"
1601403876.9894283,1,[0.0]
1601403891.9969923,0,[]
1601403906.9982932,2,"[1.0050777059986e-05, 1.0050777059986e-05]"
1601403922.009333,0,[]
1601403937.0216062,0,[]
1601403952.0288277,0,[]
1601403967.041184,1,[0.0]
1601403982.0533273,3,"[0.00013217343489460974, 1.865396455950322e-05, 1.865396455950322e-05]"
1601403997.0613382,0,[]
1601404012.071408,0,[]
1601404027.072945,1,[0.0]
1601404042.0790522,0,[]
1601404057.09044,0,[]
1601404072.1029603,0,[]
1601404087.1141453,0,[]
1601404102.1250358,0,[]
1601404117.1374745,0,[]
1601404132.138617,0,[]
1601404147.151202,0,[]
1601404162.158659,0,[]
1601404177.170815,0,[]
1601404192.1831439,1,[0.0]
1601404207.18358,2,"[2.4076038142999953e-05, 2.4076038142999953e-05]"
1601404222.1893098,0,[]
1601404239.0306711,2,"[2.009701726612571e-05, 2.009701726612571e-05]"
1601404254.0413127,1,[0.0]
1601404269.053685,2,"[1.7143834335388496e-05, 1.7143834335388496e-05]"
1601404284.0541298,2,"[2.1893016339514996e-05, 2.1893016339514996e-05]"
1601404299.0666165,4,"[1.4914430723983645e-05, 1.4914430723983645e-05, 2.2483392127703848e-05, 4.526012686470247e-05]"
1601404314.078794,0,[]
1601404329.088467,2,"[1.0601200537659199e-05, 1.0601200537659199e-05]"
1601404344.1008277,0,[]
1601404359.1045809,3,"[1.8534727204851955e-05, 1.348525296820278e-06, 1.348525296820278e-06]"
1601404374.1169608,0,[]
1601404389.12936,0,[]
1601404404.141334,1,[0.0]
1601404419.14836,0,[]
1601404434.1607847,0,[]
1601404449.1726203,1,[0.0]
1601404464.18503,0,[]
1601404479.1973782,3,"[6.488679241133793e-06, 6.488679241133793e-06, 2.102950189755778e-05]"
1601404494.2087154,0,[]
1601404509.218347,0,[]
1601404524.230697,1,[0.0]
1601404539.2380726,1,[0.0]
1601404554.2483308,0,[]
1601404569.2589889,0,[]
1601404584.2685928,3,"[2.1037858111661303e-05, 2.51706823594046e-06, 2.51706823594046e-06]"
1601404599.273359,0,[]
1601404614.2856696,1,[0.0]
1601404629.2933247,0,[]
1601404644.305339,1,[0.0]
1601404659.3176658,2,"[3.5601438165030264e-07, 3.5601438165030264e-07]"
1601404674.323817,0,[]
1601404689.3293812,0,[]
1601404704.3331244,0,[]
1601404719.3393729,1,[0.0]
1601404734.351609,0,[]
1601404749.3622768,0,[]
1601404764.3707132,0,[]
1601404779.3804429,0,[]
1601404794.3894277,0,[]
1601404809.3907056,0,[]
1601404824.403193,0,[]
1601404839.4093428,0,[]
1601404854.4216442,1,[0.0]
1601404869.433902,0,[]
1601404884.435529,0,[]
1601404899.4479272,0,[]
1601404914.45925,0,[]
1601404929.4601927,0,[]
1601404944.46531,1,[0.0]
1601404959.4776285,0,[]
1601404974.4809713,0,[]
1601404989.4891207,0,[]
