name,avgDist,lat,lon
New York ,8287238,40.7305991,-73.9865812
Los Angeles ,3826423,34.053717,-118.2427266
Chicago ,2705627,41.8755546,-87.6244212
Houston ,2129784,29.7589382,-95.3676974
Philadelphia ,1539313,39.952335,-75.163789
Phoenix ,1465114,33.4467681,-112.0756724
San Antonio ,1359174,29.4246002,-98.4951405
San Diego ,1321016,32.7174209,-117.1627714
Dallas ,1219399,32.7761963,-96.7968994
San Jose ,971495,37.3438502,-121.8831349
Austin ,839714,30.2711286,-97.7436995
Jacksonville ,829543,30.3321838,-81.655651
Indianapolis  ,827346,39.7683331,-86.1583502